,product_name,link, product_images,price,details,color,brand
149,EMBROIDERED TEXTURED T-SHIRT,https://www.zara.com/in/en/embroidered-textured-t-shirt-p06462321.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6462/321/712/2/w/448/6462321712_1_1_1.jpg?ts=1689150682236': 'Image 0 of EMBROIDERED TEXTURED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6462/321/712/2/w/448/6462321712_2_1_1.jpg?ts=1689150682351': 'Image 1 of EMBROIDERED TEXTURED T-SHIRT from Zara'}]",2290,T-shirt with a round neck and short sleeves. Contrast embroidery detail on the front.,yellow,adidas
154,THE NOTORIOUS B.I.G. © BROOKLYN MINT T-SHIRT,https://www.zara.com/in/en/the-notorious-b-i-g----brooklyn-mint-t-shirt-p02160302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2160/302/800/2/w/448/2160302800_1_1_1.jpg?ts=1692200662245': 'Image 0 of THE NOTORIOUS B.I.G. © BROOKLYN MINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2160/302/800/2/w/448/2160302800_2_1_1.jpg?ts=1692200662254': 'Image 1 of THE NOTORIOUS B.I.G. © BROOKLYN MINT T-SHIRT from Zara'}]",2590,"T-shirt with a round neckline and short sleeves. Notorious B.I.G. © Brooklyn Mint, LLC contrast graphics on the front and back.",black,zara
159,SHIELD PRINT T-SHIRT,https://www.zara.com/in/en/shield-print-t-shirt-p06224379.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/379/600/2/w/448/6224379600_1_1_1.jpg?ts=1691151338083': 'Image 0 of SHIELD PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/379/600/2/w/448/6224379600_2_1_1.jpg?ts=1691151338379': 'Image 1 of SHIELD PRINT T-SHIRT from Zara'}]",2290,Round neck T-shirt featuring short sleeves with contrast trims and a front print.,red,puma
161,STRIPED T-SHIRT,https://www.zara.com/in/en/striped-t-shirt-p00722337.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0722/337/050/2/w/448/0722337050_1_1_1.jpg?ts=1691415874594': 'Image 0 of STRIPED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0722/337/050/2/w/448/0722337050_2_1_1.jpg?ts=1691415874338': 'Image 1 of STRIPED T-SHIRT from Zara'}]",2590,Round neck T-shirt with long sleeves.,yellow,nike
168,CONTRAST DENIM T-SHIRT,https://www.zara.com/in/en/contrast-denim-t-shirt-p00840304.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0840/304/800/2/w/448/0840304800_1_1_1.jpg?ts=1690535016839': 'Image 0 of CONTRAST DENIM T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0840/304/800/2/w/448/0840304800_2_1_1.jpg?ts=1690535017849': 'Image 1 of CONTRAST DENIM T-SHIRT from Zara'}]",3290,Oversize denim T-shirt. Round neckline and short sleeves.,black,puma
170,VINTAGE FADED DENIM T-SHIRT,https://www.zara.com/in/en/vintage-faded-denim-t-shirt-p07627304.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/7627/304/400/2/w/448/7627304400_1_1_1.jpg?ts=1689319989939': 'Image 0 of VINTAGE FADED DENIM T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/7627/304/400/2/w/448/7627304400_2_1_1.jpg?ts=1689319990948': 'Image 1 of VINTAGE FADED DENIM T-SHIRT from Zara'}]",2590,"T-shirt made of lightweight denim. Featuring a round neckline, short sleeves and a vintage-effect fade.",blue,nike
177,MICKEY MOUSE © DISNEY SWEATSHIRT,https://www.zara.com/in/en/mickey-mouse---disney-sweatshirt-p06224345.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/345/251/2/w/448/6224345251_1_1_1.jpg?ts=1688564090905': 'Image 0 of MICKEY MOUSE © DISNEY SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/345/251/2/w/448/6224345251_2_1_1.jpg?ts=1688564090376': 'Image 1 of MICKEY MOUSE © DISNEY SWEATSHIRT from Zara'}]",3290,Loose-fitting short sleeve sweatshirt with a round neck. Mickey Mouse © Disney prints on the front and back.,white,adidas
179,BUGS BUNNY ™ LOONEY TUNES T-SHIRT,https://www.zara.com/in/en/bugs-bunny---looney-tunes-t-shirt-p06224343.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/343/251/2/w/448/6224343251_1_1_1.jpg?ts=1688564090327': 'Image 0 of BUGS BUNNY ™ LOONEY TUNES T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/343/251/2/w/448/6224343251_2_1_1.jpg?ts=1688564089788': 'Image 1 of BUGS BUNNY ™ LOONEY TUNES T-SHIRT from Zara'}]",2290,Short sleeve T-shirt with a round neckline. Featuring Looney Tunes © Warner Bros. Entertainment Inc. prints on the front and back.,white,zara
181,HEAVY-WEIGHT EMBROIDERED T-SHIRT,https://www.zara.com/in/en/heavy-weight-embroidered-t-shirt-p01887310.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1887/310/700/2/w/448/1887310700_1_1_1.jpg?ts=1689169842180': 'Image 0 of HEAVY-WEIGHT EMBROIDERED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1887/310/700/2/w/448/1887310700_2_1_1.jpg?ts=1689169846548': 'Image 1 of HEAVY-WEIGHT EMBROIDERED T-SHIRT from Zara'}]",1890,Round neck oversize T-shirt with short sleeves. Contrast embroidery on the chest.,brown,puma
185,T-SHIRT WITH EMBROIDERED SLOGAN,https://www.zara.com/in/en/t-shirt-with-embroidered-slogan-p00722323.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0722/323/519/2/w/448/0722323519_1_1_1.jpg?ts=1689319989616': 'Image 0 of T-SHIRT WITH EMBROIDERED SLOGAN from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0722/323/519/2/w/448/0722323519_2_1_1.jpg?ts=1689319989835': 'Image 1 of T-SHIRT WITH EMBROIDERED SLOGAN from Zara'}]",2290,Loose-fitting T-shirt with a round neck and short sleeves. Embroidered slogan on the chest. Faded effect.,green,nike
189,BASIC MEDIUM WEIGHT T-SHIRT,https://www.zara.com/in/en/basic-medium-weight-t-shirt-p01887400.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1887/400/061/2/w/448/1887400061_1_1_1.jpg?ts=1688544257903': 'Image 0 of BASIC MEDIUM WEIGHT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1887/400/061/2/w/448/1887400061_2_1_1.jpg?ts=1688544255513': 'Image 1 of BASIC MEDIUM WEIGHT T-SHIRT from Zara'}]",1590,Regular fit T-shirt with a round neckline and short sleeves.,pink,adidas
196,SLOGAN PRINT T-SHIRT,https://www.zara.com/in/en/slogan-print-t-shirt-p06224353.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/353/250/2/w/448/6224353250_1_1_1.jpg?ts=1689256345230': 'Image 0 of SLOGAN PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/353/250/2/w/448/6224353250_2_1_1.jpg?ts=1689256345327': 'Image 1 of SLOGAN PRINT T-SHIRT from Zara'}]",2290,T-shirt with a round neck and short sleeves. Contrast slogan print on the print.,white,zara
198,CONTRAST PRINTED T-SHIRT,https://www.zara.com/in/en/contrast-printed-t-shirt-p00962324.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0962/324/420/2/w/448/0962324420_1_1_1.jpg?ts=1689928105270': 'Image 0 of CONTRAST PRINTED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0962/324/420/2/w/448/0962324420_2_1_1.jpg?ts=1689926683198': 'Image 1 of CONTRAST PRINTED T-SHIRT from Zara'}]",2990,Oversize T-shirt with contrast V-neck and short sleeves. Contrast prints on the front and back.,blue,puma
205,OVERSIZE T-SHIRT WITH SLOGANS,https://www.zara.com/in/en/oversize-t-shirt-with-slogans-p00722374.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0722/374/250/2/w/448/0722374250_6_1_1.jpg?ts=1689927794171': 'Image 0 of OVERSIZE T-SHIRT WITH SLOGANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0722/374/250/2/w/448/0722374250_6_2_1.jpg?ts=1689927793949': 'Image 1 of OVERSIZE T-SHIRT WITH SLOGANS from Zara'}]",2290,Oversize round neck T-shirt with sleeves falling below the elbow and contrast prints on the front and back.,white,nike
207,T-SHIRT WITH METALLIC FINISH,https://www.zara.com/in/en/t-shirt-with-metallic-finish-p05644303.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5644/303/707/2/w/448/5644303707_1_1_1.jpg?ts=1690540907939': 'Image 0 of T-SHIRT WITH METALLIC FINISH from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5644/303/707/2/w/448/5644303707_2_1_1.jpg?ts=1690540907963': 'Image 1 of T-SHIRT WITH METALLIC FINISH from Zara'}]",2290,Round neck T-shirt with short sleeves and an ombré coloured finish.,white,adidas
208,TIE-DYE DENIM HOODIE,https://www.zara.com/in/en/tie-dye-denim-hoodie-p00840300.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0840/300/251/2/w/448/0840300251_1_1_1.jpg?ts=1689335818566': 'Image 0 of TIE-DYE DENIM HOODIE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0840/300/251/2/w/0/0840300251_2_1_1.jpg?ts=1689335819079': 'Image 1 of TIE-DYE DENIM HOODIE from Zara'}]",3290,Denim sweatshirt. Round neck and short sleeves. Ribbed trims.,white,zara
